date,nav,cash,market_value,daily_return,n_positions,n_orders,n_fills,n_rejections,dividend_cash,gross_exposure,variant
2023-02-09,9237828844.25,3457267844.25,5780561000.0,-0.005438614659778351,20,10,10,0,0.0,0.6257488742712587,garch_hmm_brake
2023-02-10,9101540271.1,4914791271.1,4186749000.0,-0.014753312217386627,19,10,10,0,0.0,0.46000444708178995,garch_hmm_brake
2023-02-13,8937221036.900002,4741935036.900001,4195286000.000001,-0.01805400287265213,16,10,10,0,0.0,0.469417281130063,garch_hmm_brake
2023-02-14,8946627440.2,4741858440.200001,4204769000.0,0.001052497556137677,16,10,10,0,0.0,0.46998369252604116,garch_hmm_brake
2023-02-15,9021551461.2,3428927461.200001,5592624000.0,0.008374554713583171,18,10,10,0,0.0,0.6199182063143824,garch_hmm_brake
2023-02-16,9146874476.35,3091276476.350001,6055598000.0,0.01389151474543926,17,10,10,0,0.0,0.6620401335622621,garch_hmm_brake
2023-02-17,9165969943.85,3096193943.850001,6069776000.0,0.002087649453304863,18,10,10,0,0.0,0.6622077136607433,garch_hmm_brake
2023-02-20,9382322127.5,4617252127.5,4765070000.0,0.023603850435399254,16,10,10,0,0.0,0.507877467352498,garch_hmm_brake
2023-02-21,9345928081.75,4631790081.75,4714138000.0,-0.003879001941675786,16,10,10,0,0.0,0.504405550606087,garch_hmm_brake
2023-02-22,9170449420.0,5406921420.0,3763528000.0,-0.018775948222056305,16,10,10,0,0.0,0.41039733470336287,garch_hmm_brake
2023-02-23,9229481963.1,6870128963.1,2359353000.0,0.006437257368352656,18,10,10,0,0.0,0.2556322239355176,garch_hmm_brake
2023-02-24,9151788041.1,6862803041.1,2288985000.0,-0.008418015475909146,20,10,10,0,0.0,0.25011341933623665,garch_hmm_brake
2023-02-27,9064648938.3,6839310938.3,2225337999.999999,-0.009521538568055377,21,10,10,0,0.0,0.24549632480497838,garch_hmm_brake
2023-02-28,9049886687.400002,6811628687.400001,2238258000.000001,-0.0016285518612446648,19,10,10,0,0.0,0.24732442264899165,garch_hmm_brake
2023-03-01,9099563429.5,7317094429.500001,1782468999.999999,0.005489211502411662,19,10,10,0,0.0,0.1958851118309026,garch_hmm_brake
2023-03-02,9091293704.400002,7314074704.400002,1777219000.0,-0.0009088045997007743,20,10,10,0,0.0,0.1954858194868198,garch_hmm_brake
2023-03-03,9058004238.150002,6047005238.150002,3010999000.0,-0.0036616863707624736,21,10,10,0,0.0,0.3324130703448383,garch_hmm_brake
2023-03-06,9068342332.500002,5005820332.500002,4062522000.0,0.0011413214299966778,22,10,9,1,0.0,0.4479894837494545,garch_hmm_brake
2023-03-07,9116186891.250002,4999072891.250002,4117114000.0,0.005275998302195717,21,10,10,0,0.0,0.45162676556705234,garch_hmm_brake
2023-03-08,9214522667.800003,4030863667.800002,5183659000.000001,0.010786941703047725,19,10,10,0,0.0,0.5625531768578975,garch_hmm_brake
2023-03-09,9260674062.500002,4039259062.5000024,5221415000.0,0.005008549695284081,18,10,10,0,0.0,0.5638266679899143,garch_hmm_brake
2023-03-10,9193629311.000002,5353686311.000002,3839943000.0,-0.007239726940773128,16,10,10,0,0.0,0.41767433405277515,garch_hmm_brake
2023-03-13,9171219190.550003,6387908190.550002,2783311000.000001,-0.002437570592843663,15,9,9,0,0.0,0.3034832056863188,garch_hmm_brake
2023-03-14,9101660056.850002,6394416056.850002,2707244000.0,-0.0075845023714703474,16,10,10,0,0.0,0.2974450795888054,garch_hmm_brake
2023-03-15,9212830308.600002,5660545308.600002,3552285000.0,0.012214283005036242,17,10,9,1,0.0,0.38558020510635144,garch_hmm_brake
2023-03-16,9172410691.350002,4439697691.350001,4732713000.000001,-0.004387318109210003,17,11,11,0,0.0,0.515972644406684,garch_hmm_brake
2023-03-17,9188360751.600002,2983761751.6000013,6204599000.000001,0.001738916931079082,16,10,10,0,0.0,0.6752672394713684,garch_hmm_brake
2023-03-20,9019921298.350002,1546707298.3500013,7473214000.000001,-0.018331828473394318,16,10,10,0,0.0,0.8285231935856316,garch_hmm_brake
2023-03-21,9159833760.650002,84827760.65000153,9075006000.0,0.015511494798251979,16,10,10,0,0.0,0.99073915937051,garch_hmm_brake
2023-03-22,9245762883.000002,76320883.00000155,9169442000.0,0.009381078805070331,15,10,10,0,0.0,0.9917453125322593,garch_hmm_brake
2023-03-23,9376230101.250002,1585882101.2500014,7790348000.0,0.01411102792716945,15,10,10,0,0.0,0.8308614353397131,garch_hmm_brake
2023-03-24,9484932250.250002,3065469250.2500014,6419463000.0,0.011593374717361993,16,10,10,0,0.0,0.676806415758088,garch_hmm_brake
2023-03-27,9635856814.2,3554819814.2000017,6081036999.999999,0.01591203394689722,17,10,10,0,0.0,0.6310842011515367,garch_hmm_brake
2023-03-28,9590916748.45,4592336748.450002,4998579999.999999,-0.004663837022129025,18,10,10,0,0.0,0.5211785412283789,garch_hmm_brake
2023-03-29,9610632987.800001,4612857987.800001,4997775000.0,0.002055719997067662,18,10,10,0,0.0,0.5200255806609525,garch_hmm_brake
2023-03-30,9576616411.25,3152842411.250001,6423773999.999999,-0.00353947306001412,18,10,10,0,0.0,0.6707769972339873,garch_hmm_brake
2023-03-31,9617386884.050001,1620165884.0500011,7997221000.0,0.004257294126567057,16,10,10,0,0.0,0.8315378279377559,garch_hmm_brake
2023-04-03,9876431290.900002,1561189290.9000013,8315242000.0,0.026935009475350657,17,10,10,0,0.0,0.8419277930543132,garch_hmm_brake
2023-04-04,10014942608.900002,577559608.9000012,9437383000.0,0.014024429869483601,17,10,10,0,0.0,0.9423302128175213,garch_hmm_brake
2023-04-05,10139204866.050001,615610866.0500011,9523594000.0,0.012407685395977364,17,10,10,0,0.0,0.9392841081541506,garch_hmm_brake
2023-04-06,9974042166.1,718760166.1000011,9255282000.0,-0.016289512060559064,17,10,10,0,0.0,0.9279369232523461,garch_hmm_brake
2023-04-07,10189666782.350002,876101782.3500013,9313565000.0,0.021618578772693686,16,10,10,0,0.0,0.9140205660240491,garch_hmm_brake
2023-04-10,10149306019.600002,492381019.60000134,9656925000.0,-0.003960950206920444,17,10,10,0,0.0,0.9514862377142701,garch_hmm_brake
2023-04-11,10276484993.850002,468223993.85000134,9808261000.0,0.012530804963846398,17,10,10,0,0.0,0.9544373397975852,garch_hmm_brake
2023-04-12,10271137346.050001,487195346.05000114,9783942000.0,-0.0005203771331541152,17,10,10,0,0.0,0.9525665630167662,garch_hmm_brake
2023-04-13,10161117615.95,280593615.95000124,9880524000.0,-0.010711543073884666,19,10,10,0,0.0,0.9723855557473766,garch_hmm_brake
2023-04-14,9829026107.300001,95353107.30000126,9733673000.0,-0.03268257697644528,18,10,10,0,0.0,0.9902988244960319,garch_hmm_brake
2023-04-17,9938343143.6,1660783143.600001,8277559999.999999,0.011121858371991644,19,10,10,0,0.0,0.8328913462130257,garch_hmm_brake
2023-04-18,9994746758.600002,3258868758.6000013,6735878000.000001,0.0056753539483413995,20,10,10,0,0.0,0.6739418379164134,garch_hmm_brake
2023-04-19,9917192103.250002,3461391103.250002,6455801000.0,-0.007759541809628012,20,10,10,0,0.0,0.6509706510459089,garch_hmm_brake
2023-04-20,9882443170.650002,4821154170.650002,5061289000.0,-0.003503908388404864,20,10,10,0,0.0,0.5121495679359522,garch_hmm_brake
2023-04-21,9815550538.850002,4941347538.850002,4874203000.0,-0.0067688354635485615,18,10,10,0,0.0,0.4965796855416187,garch_hmm_brake
2023-04-24,9739454715.350002,3448965715.3500023,6290489000.0,-0.007752578237849472,18,10,10,0,0.0,0.6458769185594947,garch_hmm_brake
2023-04-25,9654912055.600002,2191982055.6000023,7462930000.0,-0.00868043049851197,18,10,10,0,0.0,0.7729671650060637,garch_hmm_brake
2023-04-26,9770619192.600002,1980234192.6000023,7790385000.0,0.011984276639048996,19,10,10,0,0.0,0.7973276663878399,garch_hmm_brake
2023-04-27,9755347926.950003,830487926.9500022,8924860000.0,-0.0015629782871453557,18,10,10,0,0.0,0.9148684461929126,garch_hmm_brake
2023-04-28,9860602155.750002,680695155.7500021,9179907000.0,0.010789387481427104,17,10,10,0,0.0,0.9309681959581881,garch_hmm_brake
2023-05-04,9860954055.500002,656380055.5000019,9204574000.0,3.568745036486298e-05,17,10,10,0,0.0,0.9334364553565786,garch_hmm_brake
